id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,dataset_type
332545,Male,78,1,28.0,1,1-2 Year,No,91293.0,124.0,31,0.0,train
338061,Male,25,1,30.0,0,< 1 Year,Yes,2630.0,152.0,122,1.0,train
157236,Female,76,1,8.0,0,1-2 Year,Yes,42666.0,7.0,181,0.0,train
119407,Male,29,1,11.0,1,< 1 Year,No,31757.0,152.0,88,0.0,train
54135,Female,33,1,15.0,0,1-2 Year,Yes,30503.0,26.0,257,0.0,train
259589,Female,29,1,39.0,0,< 1 Year,Yes,26366.0,124.0,187,0.0,train
113633,Female,22,1,3.0,1,< 1 Year,Yes,2630.0,160.0,181,0.0,train
117590,Female,25,1,50.0,0,< 1 Year,No,39077.0,152.0,292,0.0,train
90042,Female,26,1,35.0,1,< 1 Year,No,26295.0,152.0,284,0.0,train
355296,Female,25,1,28.0,1,< 1 Year,No,57192.0,152.0,89,0.0,train
294555,Male,33,1,28.0,1,1-2 Year,No,2630.0,157.0,168,0.0,train
329914,Female,49,1,15.0,0,1-2 Year,Yes,35780.0,14.0,125,0.0,train
280300,Male,50,1,28.0,0,1-2 Year,Yes,47507.0,52.0,254,0.0,train
164691,Male,33,1,28.0,0,1-2 Year,Yes,51256.0,154.0,280,1.0,train
143150,Female,20,1,32.0,1,< 1 Year,No,2630.0,160.0,51,0.0,train
120060,Male,47,1,28.0,0,1-2 Year,Yes,46152.0,26.0,251,0.0,train
235743,Female,22,1,34.0,1,< 1 Year,No,34110.0,152.0,274,0.0,train
35826,Male,54,1,28.0,1,1-2 Year,No,74484.0,124.0,267,0.0,train
265250,Female,33,1,8.0,1,< 1 Year,No,38911.0,152.0,182,0.0,train
340387,Female,20,1,27.0,1,< 1 Year,Yes,2630.0,160.0,54,0.0,train
163910,Male,42,1,46.0,0,1-2 Year,Yes,2630.0,124.0,278,0.0,train
148501,Female,43,1,1.0,0,1-2 Year,Yes,2630.0,124.0,187,0.0,train
351852,Female,23,1,5.0,0,< 1 Year,Yes,20400.0,152.0,54,0.0,train
227196,Female,37,1,46.0,0,< 1 Year,No,2630.0,1.0,229,0.0,train
153157,Male,24,1,8.0,1,< 1 Year,No,51281.0,152.0,192,0.0,train
8944,Female,49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,162,0.0,train
308886,Female,28,1,28.0,1,< 1 Year,No,2630.0,124.0,166,0.0,train
226015,Male,34,1,13.0,0,1-2 Year,Yes,22642.0,152.0,77,0.0,train
333383,Female,44,1,28.0,0,1-2 Year,Yes,56520.0,26.0,47,0.0,train
146452,Male,31,1,23.0,1,1-2 Year,Yes,22755.0,26.0,120,0.0,train
193712,Male,23,1,46.0,1,< 1 Year,No,33587.0,160.0,36,0.0,train
40131,Male,58,1,28.0,0,1-2 Year,Yes,40899.0,26.0,204,0.0,train
268821,Female,23,1,6.0,0,< 1 Year,No,22738.0,152.0,178,0.0,train
132922,Female,36,1,15.0,0,1-2 Year,Yes,2630.0,26.0,113,0.0,train
63678,Male,50,1,28.0,1,1-2 Year,No,49430.0,124.0,262,0.0,train
220384,Female,24,1,2.0,1,< 1 Year,No,29294.0,152.0,221,0.0,train
104559,Male,21,1,46.0,0,< 1 Year,Yes,38274.0,152.0,86,0.0,train
310019,Female,22,1,25.0,1,< 1 Year,No,22693.0,152.0,186,0.0,train
28383,Female,23,1,15.0,1,< 1 Year,No,27795.0,152.0,123,0.0,train
197543,Female,22,1,35.0,1,< 1 Year,No,25525.0,152.0,144,0.0,train
307056,Male,51,1,28.0,0,1-2 Year,Yes,40284.0,26.0,80,0.0,train
117632,Female,24,1,36.0,1,< 1 Year,No,29438.0,152.0,123,0.0,train
84056,Female,34,1,33.0,0,1-2 Year,Yes,30873.0,26.0,192,0.0,train
344076,Male,51,1,8.0,1,1-2 Year,No,24680.0,7.0,14,0.0,train
318382,Female,79,1,50.0,0,1-2 Year,Yes,2630.0,156.0,184,0.0,train
113683,Male,23,1,28.0,0,< 1 Year,Yes,28060.0,157.0,24,0.0,train
128027,Male,55,1,4.0,0,1-2 Year,No,30424.0,124.0,151,0.0,train
85057,Male,52,1,2.0,0,1-2 Year,Yes,30929.0,152.0,45,0.0,train
131666,Male,66,1,28.0,0,1-2 Year,Yes,32549.0,124.0,153,1.0,train
75425,Male,60,1,28.0,0,> 2 Years,Yes,47841.0,25.0,235,0.0,train
29681,Female,54,1,29.0,0,1-2 Year,Yes,34048.0,124.0,286,0.0,train
324645,Female,38,1,28.0,0,> 2 Years,Yes,36760.0,26.0,32,1.0,train
239831,Female,24,1,36.0,1,< 1 Year,No,30873.0,152.0,130,0.0,train
348658,Female,38,1,28.0,0,1-2 Year,Yes,33770.0,26.0,28,0.0,train
274734,Male,60,1,7.0,0,1-2 Year,Yes,2630.0,157.0,214,0.0,train
230152,Male,59,1,50.0,0,1-2 Year,Yes,32326.0,8.0,243,0.0,train
41376,Female,24,1,32.0,1,< 1 Year,No,30950.0,152.0,233,0.0,train
193010,Male,24,1,41.0,1,< 1 Year,No,33669.0,152.0,62,0.0,train
194375,Male,44,1,45.0,0,1-2 Year,Yes,2630.0,124.0,187,0.0,train
50699,Male,38,1,19.0,0,1-2 Year,Yes,29896.0,26.0,247,1.0,train
145012,Male,69,1,15.0,0,1-2 Year,Yes,61869.0,26.0,277,0.0,train
278691,Female,24,1,6.0,1,< 1 Year,No,25912.0,152.0,78,0.0,train
69565,Male,43,1,35.0,0,> 2 Years,Yes,51672.0,26.0,244,0.0,train
111136,Male,59,1,28.0,0,1-2 Year,Yes,44520.0,26.0,121,1.0,train
244807,Female,48,1,28.0,0,1-2 Year,Yes,2630.0,124.0,153,0.0,train
344906,Female,23,1,27.0,1,< 1 Year,No,20161.0,26.0,56,0.0,train
337794,Male,66,1,44.0,1,1-2 Year,No,47182.0,26.0,268,0.0,train
320780,Female,58,1,28.0,0,> 2 Years,Yes,36177.0,26.0,43,0.0,train
302868,Female,60,1,5.0,0,> 2 Years,Yes,41924.0,157.0,78,0.0,train
52288,Female,22,1,41.0,1,< 1 Year,No,24457.0,152.0,56,0.0,train
173690,Male,21,1,28.0,1,< 1 Year,No,36945.0,163.0,46,0.0,train
353673,Male,33,1,28.0,0,< 1 Year,Yes,2630.0,152.0,269,0.0,train
21792,Male,44,1,28.0,1,1-2 Year,No,36697.0,26.0,136,0.0,train
133159,Male,47,1,28.0,1,1-2 Year,No,41914.0,26.0,81,0.0,train
109211,Female,21,1,30.0,1,< 1 Year,No,34437.0,160.0,92,0.0,train
74364,Female,39,1,50.0,0,1-2 Year,Yes,36795.0,8.0,16,0.0,train
140572,Female,26,1,11.0,1,< 1 Year,No,25539.0,152.0,30,0.0,train
305996,Male,44,1,18.0,0,1-2 Year,Yes,51233.0,154.0,140,1.0,train
187780,Female,53,1,28.0,0,1-2 Year,Yes,29597.0,26.0,170,0.0,train
285673,Male,58,1,28.0,0,> 2 Years,Yes,31221.0,122.0,249,0.0,train
338488,Female,28,1,28.0,1,< 1 Year,No,31737.0,152.0,216,0.0,train
285472,Female,32,1,28.0,1,1-2 Year,No,40183.0,157.0,84,0.0,train
233485,Male,35,1,4.0,0,1-2 Year,Yes,18884.0,124.0,41,0.0,train
175468,Male,62,1,41.0,1,1-2 Year,No,37595.0,26.0,286,0.0,train
67129,Female,27,1,49.0,0,< 1 Year,Yes,27476.0,152.0,288,0.0,train
334130,Male,20,1,35.0,0,< 1 Year,Yes,22866.0,160.0,296,0.0,train
18140,Female,22,1,15.0,0,< 1 Year,Yes,58802.0,152.0,213,0.0,train
210779,Female,55,1,8.0,0,1-2 Year,Yes,2630.0,26.0,11,0.0,train
207390,Female,23,1,41.0,0,< 1 Year,Yes,22126.0,124.0,184,1.0,train
94145,Female,41,1,15.0,0,1-2 Year,Yes,33447.0,124.0,104,0.0,train
157970,Male,65,1,28.0,1,1-2 Year,No,28147.0,26.0,59,0.0,train
312152,Female,51,1,28.0,1,1-2 Year,No,24381.0,26.0,55,0.0,train
272468,Male,40,1,28.0,0,1-2 Year,Yes,54922.0,25.0,127,0.0,train
177298,Male,52,1,25.0,0,1-2 Year,Yes,2630.0,124.0,209,1.0,train
325215,Female,21,1,5.0,0,< 1 Year,Yes,2630.0,160.0,39,0.0,train
230470,Female,20,1,46.0,1,< 1 Year,Yes,21212.0,160.0,279,0.0,train
96128,Female,25,1,10.0,1,< 1 Year,No,24620.0,152.0,202,0.0,train
173822,Female,34,1,8.0,0,1-2 Year,Yes,44104.0,26.0,97,1.0,train
133859,Female,23,1,37.0,0,< 1 Year,Yes,27437.0,152.0,41,0.0,train
56535,Male,73,1,28.0,1,1-2 Year,No,42788.0,26.0,236,0.0,train
157601,Female,26,1,13.0,1,< 1 Year,No,31349.0,152.0,103,0.0,train
222008,Male,24,1,46.0,0,< 1 Year,Yes,31054.0,152.0,261,0.0,train
3460,Female,22,1,15.0,0,< 1 Year,No,2630.0,160.0,89,0.0,train
170370,Female,23,1,13.0,0,< 1 Year,Yes,27760.0,26.0,253,1.0,train
294071,Female,34,1,30.0,0,1-2 Year,Yes,2630.0,163.0,148,0.0,train
71914,Male,23,1,10.0,1,< 1 Year,No,24212.0,152.0,192,0.0,train
92797,Male,49,1,46.0,1,1-2 Year,No,32944.0,124.0,280,0.0,train
327345,Male,33,1,28.0,0,< 1 Year,Yes,51164.0,31.0,132,1.0,train
296290,Male,42,1,28.0,1,1-2 Year,No,45643.0,13.0,265,0.0,train
148505,Male,57,1,46.0,1,1-2 Year,No,28884.0,26.0,16,0.0,train
181123,Female,38,1,46.0,0,1-2 Year,Yes,24965.0,163.0,89,0.0,train
221397,Male,24,1,11.0,1,< 1 Year,No,31570.0,152.0,169,0.0,train
198685,Female,23,1,37.0,0,< 1 Year,Yes,34729.0,152.0,191,0.0,train
171757,Female,67,1,28.0,0,> 2 Years,Yes,62900.0,26.0,183,0.0,train
273042,Female,64,1,47.0,0,1-2 Year,Yes,32506.0,124.0,201,0.0,train
242631,Male,51,1,18.0,0,1-2 Year,Yes,29190.0,26.0,201,1.0,train
347856,Female,40,1,8.0,0,1-2 Year,Yes,37674.0,124.0,40,1.0,train
67012,Male,40,1,8.0,0,1-2 Year,Yes,28245.0,124.0,283,1.0,train
189805,Male,73,1,28.0,0,> 2 Years,Yes,28683.0,26.0,49,0.0,train
305739,Female,30,1,46.0,1,< 1 Year,No,27178.0,152.0,115,0.0,train
131876,Male,32,1,32.0,0,< 1 Year,Yes,30861.0,124.0,18,1.0,train
235198,Male,43,1,28.0,0,1-2 Year,Yes,39038.0,122.0,118,1.0,train
235670,Female,44,1,46.0,1,1-2 Year,No,35046.0,124.0,150,0.0,train
123374,Female,45,1,19.0,0,1-2 Year,Yes,38971.0,163.0,32,0.0,train
39621,Female,26,1,2.0,0,< 1 Year,Yes,2630.0,152.0,87,0.0,train
267680,Male,37,1,35.0,0,1-2 Year,Yes,42513.0,124.0,165,0.0,train
236616,Male,36,1,18.0,0,1-2 Year,Yes,37953.0,124.0,261,1.0,train
210240,Male,60,1,22.0,1,1-2 Year,No,41958.0,26.0,257,0.0,train
141629,Male,48,1,20.0,1,1-2 Year,No,2630.0,124.0,50,0.0,train
190127,Female,22,1,11.0,1,< 1 Year,No,29874.0,152.0,102,0.0,train
228662,Male,44,1,46.0,0,1-2 Year,Yes,49188.0,11.0,228,0.0,train
220645,Female,22,1,29.0,1,< 1 Year,No,2630.0,152.0,115,0.0,train
284081,Male,41,1,38.0,1,1-2 Year,No,30761.0,124.0,281,0.0,train
85888,Male,43,1,28.0,0,1-2 Year,Yes,31146.0,25.0,98,0.0,train
37916,Female,46,1,29.0,0,1-2 Year,Yes,37896.0,26.0,79,1.0,train
39394,Female,47,1,28.0,1,1-2 Year,No,61675.0,26.0,58,0.0,train
115865,Female,29,1,28.0,1,< 1 Year,No,51384.0,152.0,114,0.0,train
116392,Female,21,1,8.0,0,< 1 Year,No,63395.0,160.0,94,0.0,train
294396,Female,36,1,33.0,1,1-2 Year,No,30918.0,152.0,31,0.0,train
185403,Female,65,1,48.0,0,1-2 Year,Yes,2630.0,26.0,268,0.0,train
29503,Female,24,1,30.0,1,< 1 Year,Yes,29087.0,152.0,272,0.0,train
45793,Male,61,1,28.0,1,1-2 Year,No,36345.0,124.0,237,0.0,train
277038,Female,63,1,46.0,0,1-2 Year,Yes,45839.0,124.0,289,0.0,train
120674,Male,23,1,6.0,1,< 1 Year,No,35932.0,152.0,61,0.0,train
315263,Female,22,1,44.0,0,< 1 Year,Yes,30169.0,152.0,221,0.0,train
70111,Female,22,1,46.0,0,< 1 Year,Yes,24560.0,152.0,64,0.0,train
252617,Female,29,1,41.0,0,< 1 Year,Yes,29892.0,152.0,218,0.0,train
188816,Female,21,1,8.0,1,< 1 Year,No,27438.0,160.0,94,0.0,train
334967,Male,23,1,28.0,0,< 1 Year,Yes,47324.0,152.0,28,0.0,train
226914,Female,41,1,48.0,0,1-2 Year,Yes,2630.0,124.0,58,0.0,train
241450,Female,25,1,11.0,1,< 1 Year,No,26071.0,152.0,26,0.0,train
356431,Male,24,1,36.0,1,< 1 Year,No,28804.0,152.0,171,0.0,train
307190,Female,24,1,28.0,1,< 1 Year,No,47547.0,152.0,254,0.0,train
226605,Male,50,1,28.0,0,> 2 Years,Yes,46046.0,26.0,235,1.0,train
342905,Female,35,1,41.0,0,1-2 Year,Yes,25776.0,124.0,284,1.0,train
95043,Female,64,1,28.0,0,1-2 Year,Yes,33865.0,154.0,196,0.0,train
288247,Female,54,1,8.0,1,1-2 Year,No,21980.0,124.0,259,0.0,train
103265,Female,23,1,8.0,1,< 1 Year,No,37893.0,152.0,196,0.0,train
252017,Male,27,1,28.0,1,< 1 Year,No,87274.0,152.0,84,0.0,train
217748,Male,47,1,33.0,1,1-2 Year,No,25685.0,26.0,102,0.0,train
325010,Male,67,1,28.0,0,1-2 Year,Yes,56558.0,155.0,32,0.0,train
97933,Female,21,1,9.0,1,< 1 Year,No,37766.0,152.0,230,0.0,train
207885,Female,26,1,29.0,1,< 1 Year,No,24323.0,151.0,135,0.0,train
246868,Female,22,1,39.0,1,< 1 Year,No,26757.0,152.0,269,0.0,train
149371,Male,47,1,28.0,0,1-2 Year,No,30546.0,26.0,284,0.0,train
77083,Male,45,1,21.0,0,1-2 Year,Yes,27243.0,124.0,95,0.0,train
87711,Female,23,1,14.0,1,< 1 Year,No,23682.0,152.0,78,0.0,train
335813,Female,24,1,47.0,1,< 1 Year,No,31187.0,152.0,67,0.0,train
20272,Male,41,1,8.0,0,1-2 Year,Yes,36403.0,124.0,188,0.0,train
277891,Male,22,1,41.0,1,< 1 Year,No,31097.0,152.0,144,0.0,train
183628,Female,45,1,28.0,0,1-2 Year,Yes,2630.0,156.0,188,0.0,train
30512,Male,25,1,10.0,1,< 1 Year,No,36191.0,152.0,73,0.0,train
100961,Female,40,1,28.0,0,1-2 Year,Yes,24019.0,26.0,288,0.0,train
231293,Male,33,1,28.0,1,< 1 Year,No,43248.0,152.0,174,0.0,train
314833,Male,45,1,28.0,0,1-2 Year,Yes,54069.0,124.0,193,1.0,train
145837,Male,52,1,25.0,0,1-2 Year,Yes,24360.0,124.0,177,0.0,train
268849,Male,53,1,28.0,0,1-2 Year,Yes,26544.0,26.0,275,1.0,train
280051,Female,57,1,9.0,0,1-2 Year,Yes,40955.0,124.0,174,0.0,train
308881,Female,40,1,28.0,1,1-2 Year,No,37526.0,124.0,154,0.0,train
31627,Male,24,1,10.0,1,< 1 Year,No,40536.0,152.0,170,0.0,train
272551,Female,25,1,28.0,1,< 1 Year,No,56520.0,152.0,105,0.0,train
192763,Male,30,1,3.0,1,< 1 Year,No,29186.0,152.0,79,0.0,train
131277,Female,49,1,29.0,0,1-2 Year,Yes,34304.0,124.0,172,0.0,train
237203,Male,47,1,28.0,0,1-2 Year,Yes,34954.0,124.0,245,0.0,train
295302,Male,22,1,28.0,1,< 1 Year,No,20477.0,152.0,25,0.0,train
193430,Female,39,1,28.0,0,1-2 Year,Yes,59373.0,26.0,223,0.0,train
337318,Female,34,1,36.0,0,1-2 Year,Yes,32938.0,124.0,191,1.0,train
337685,Male,43,1,28.0,0,1-2 Year,Yes,35140.0,26.0,205,0.0,train
129786,Male,25,1,15.0,1,< 1 Year,No,32079.0,152.0,231,0.0,train
62804,Female,54,1,41.0,1,1-2 Year,No,28939.0,26.0,179,0.0,train
252096,Female,54,1,28.0,0,1-2 Year,Yes,27136.0,26.0,87,0.0,train
122098,Male,26,1,33.0,1,< 1 Year,No,35421.0,152.0,209,0.0,train
35645,Female,43,1,28.0,0,1-2 Year,Yes,29466.0,26.0,78,1.0,train
106447,Female,22,1,18.0,1,< 1 Year,No,25449.0,152.0,119,0.0,train
231361,Male,24,1,28.0,1,< 1 Year,Yes,2630.0,156.0,206,0.0,train
340059,Male,45,1,28.0,0,1-2 Year,Yes,36202.0,13.0,175,0.0,train
64697,Male,73,1,28.0,0,> 2 Years,Yes,42170.0,122.0,238,1.0,train
293635,Male,76,1,43.0,0,> 2 Years,Yes,44078.0,26.0,37,0.0,train
189035,Male,23,1,12.0,1,< 1 Year,No,2630.0,160.0,144,0.0,train
310789,Male,23,1,45.0,1,< 1 Year,No,40950.0,152.0,16,0.0,train
163165,Female,47,1,47.0,0,1-2 Year,Yes,38552.0,124.0,206,0.0,train
238230,Male,48,1,19.0,1,1-2 Year,Yes,29685.0,124.0,290,0.0,train
195128,Male,61,1,41.0,0,1-2 Year,Yes,26426.0,26.0,231,0.0,train
